
source_board_name,source_url,provider_name,provider_legal_name,provider_type,description,street_1,street_2,city,state,zip,county,phone,fax,email,website,intake_phone,hours,services_raw,payment_raw,telehealth_available,languages_raw,populations_raw,level_of_care_raw,mat_options_raw,peer_support_available,peer_services_raw,npi,license_raw,last_verified_date,verified_status,verification_evidence,notes
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Mary Rutan Behavioral Health,,,,2231 Timber Trail,,Bellefontaine,OH,43311.0,,937-599-3115,,,,,,Psychiatric Medicine Services; Medication Assisted Treatment; Addiction Services (Mary Rutan Internal Medicine),,,,Adults; Adolescents,,,,,,,2025-12-29,likely_active,Board directory 2025,Additional locations: 118 Dowell Avenue Bellefontaine OH 43311 (937-593-5437); 1880 E US Hwy 36 Urbana OH 43078 (937-887-0164)
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/substance-abuse-service-providers.html,Maryhaven at the Mills Center,,,,715 S. Plum St,,Marysville,OH,43040.0,,937-644-9192,,,www.maryhaven.com,,,Mental Health Services; Substance Abuse Services; Gambling Intervention Services; Medication Assisted Treatment; Crisis Walk-In Hours,,,,Adults; Adolescents; Children; LGBTQ+,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Nationwide Children Behavioral Health,,,,444 Butterfly Gardens Dr,,Columbus,OH,,,614-355-8080,,,www.nationwidechildrens.org,,,Mental Health Services; Psychiatric Services; Inpatient Services; Crisis Services,,,,Children; Adolescents; Families,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,New Directions of TCN,,,,1855 SR 47 W,,Bellefontaine,OH,43311.0,,937-593-5777,,,,,,Partner Abuse Counseling; Domestic Violence Shelter,,,,Adults; Families,,,,,,,2025-12-29,likely_active,Board directory 2025,Additional location at 1522 US HWY 36 Suite A Urbana OH
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/substance-abuse-service-providers.html,Freedom Recovery,,,,439 Allenby Dr.,,Marysville,OH,43040.0,,937-738-2527,,,,,,Substance Abuse Services; Intensive Outpatient Programs,,,,Adults,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/substance-abuse-service-providers.html,Mercy Health Mercy Reach,,,,904 Scioto St,,Urbana,OH,43078.0,,937-653-3001,,,,,,Substance Abuse Services; Drug Screens; Medical Detox Programs; Community Education Programs,,,,Adults & Adolescents,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,New Reflections Counseling Center,,,,16920 Square Dr,,Marysville,OH,43040.0,,937-642-0048,,,www.newreflectionscounselingcenter.net,,,Mental Health Services; Substance Abuse Services; Family & Couples Counseling,,,,Adults; Children; Families; Couples,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Newman & Associates Collaborative Psychological Services,,,,2221 Timber Trail,,Bellefontaine,OH,43311.0,,937-539-1324,,,,,,"Family, Marriage and Couples Counseling; Equine-Assisted Treatment; Women Mental Health Services; Psychiatric Medication Services",,,,Adults; Families; Couples,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Serendipity Counseling Center,,,,131 N Main St Suite K,,Marysville,OH,,,937-644-3448,,,www.serendipitycounselingcenter.com,,,Mental Health Services; Play Therapy; Family Counseling,,,,Adults; Adolescents; Children,,,,,,,2025-12-29,likely_active,Board directory 2025,
"Mental Health, Drug & Alcohol Services Board of Logan & Champaign Counties",https://www.mhdas.org/mental-health-service-providers.html,Urbana Family Medicine & Pediatrics,,,,204 Patrick Ave,,Urbana,OH,43078.0,,937-484-6157,,,,,,Psychiatric Medication Services,,,,Adults; Adolescents,,,,,,,2025-12-29,likely_active,Board directory 2025,
Mental Health Recovery Board Serving Warren & Clinton Counties,https://www.mhrbwcc.org/adult-mental-health/,Access Counseling Services,,agency,,4464 S Dixie Hwy,,Middletown,OH,45005.0,,513-649-8008,513-649-8004,,https://www.acscounseling.com,,,Adult outpatient addiction services; mental health services,,,,,,,,,,,2025-12-29,likely_active,Website lists address and phone; board directory,
Mental Health Recovery Board Serving Warren & Clinton Counties,https://www.mhrbwcc.org/adult-mental-health/,Greater Cincinnati Behavioral Health Services,,agency,,1501 Madison Road,,Cincinnati,OH,45206.0,,513-354-5200,,,https://www.gcbhs.com,,,Traditional outpatient program; intensive outpatient program; medication assisted treatment; integrated dual disorders treatment,,,,,IOP,,,,,,2025-12-29,likely_active,Website provides services details; board directory,
Mental Health Recovery Board Serving Warren & Clinton Counties,https://www.mhrbwcc.org/adult-mental-health/,Talbert House,,agency,,2600 Victory Parkway,,Cincinnati,OH,45206.0,,513-751-7747,513-751-8107,public.relations@talberthouse.org,https://www.talberthouse.org,513-221-4357,,Addiction treatment services; crisis stabilization; engagement center; mental health day reporting; opioid treatment,,,,Adults,Residential; outpatient,,,,,,2025-12-29,likely_active,Contact page lists address and phone; board directory,
Mental Health Recovery Board Serving Warren & Clinton Counties,https://www.mhrbwcc.org/adult-mental-health/,Mental Health America of Northern Kentucky & Southwest Ohio,,organization,,11238 Cornell Park Dr.,,Blue Ash,OH,45242.0,,513-721-2910,,info@mhankyswoh.org,https://mhankyswoh.org,,,Peer support programs; wellness recovery training; mental health advocacy,,,,,,,yes,Peer support specialist training,,,2025-12-29,likely_active,Contact page lists Ohio address and phone,
Mental Health Recovery Board Serving Warren & Clinton Counties,https://www.mhrbwcc.org/adult-mental-health/,NAMI Southwest Ohio,,organization,,420 W. Loveland Ave.,Suite 101,Loveland,OH,45140.0,,513-351-3500,,,https://namiswoh.org,,,Support groups; education programs; mental health advocacy,,,,,,,yes,Peer support groups,,,2025-12-29,likely_active,Contact page lists address and phone,
Columbiana County Mental Health & Recovery Services Board,https://www.ccmhrsb.org/provider-network,Counseling Center of Columbiana County,,agency,,40722 State Route 154,P.O. Box 429,Lisbon,OH,44432.0,,330-424-9573,330-424-7140,counseling@colmhc.org,https://www.colmhc.org,,,"Comprehensive mental health and substance abuse assessment, counseling, treatment, rehabilitation and education for children and adults",,,,Children and adults,,,,,,,2025-12-29,likely_active,Board provider network lists contact details,
Columbiana County Mental Health & Recovery Services Board,https://www.ccmhrsb.org/provider-network,Family Recovery Center,,agency,,964 North Market Street,P.O. Box 464,Lisbon,OH,44432.0,,330-424-1468,330-424-9844,info@familyrecovery.org,https://www.familyrecovery.org,,,"Comprehensive outpatient treatment facility for substance abuse and mental health problems; provides assessment, counseling, public awareness, and education",,,,,Outpatient,,,,,,2025-12-29,likely_active,Board provider network lists contact details,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Allwell Behavioral Health Services – Coshocton Counseling Center,,clinic,,710 Main St,,Coshocton,OH,43812.0,,740-622-3404,,,allwell.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Muskingum Behavioral Health,,clinic,,1127 W. Main St,,Zanesville,OH,43701.0,,740-454-1266,,,www.muskingumbehavioralhealth.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Zanesville Treatment Center (Pinnacle),,clinic,,1590 Coal Run Rd,,Zanesville,OH,43701.0,,740-297-4417,,,pinnacletreatment.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Hickory Behavioral Network Ohio,,clinic,,66755 State St,,Cambridge,OH,43725.0,,800-668-0336,,,hickorynetwork.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,BrightView Zanesville Addiction Treatment Center,,clinic,,2572 Maple Ave,,Zanesville,OH,43701.0,,888-501-9865,,,www.brightviewhealth.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Mid-Ohio Behavioral Health,,clinic,,930 Bethesda Drive,,Zanesville,OH,43701.0,,888-454-5157,,,midohiobh.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Radiant Star Counseling Services,,clinic,,"1846 Dresden Rd, Ste. A",,Zanesville,OH,43701.0,,740-455-3836,,,www.radiantstarcounselingservices.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Coshocton Behavioral Health Choices,,clinic,,610 Walnut Street,,Coshocton,OH,43812.0,,740-622-0033,,,www.coshoctonbhc.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Muskingum Valley Health Centers,,clinic,,716 Adair Ave.,,Zanesville,OH,43701.0,,740-297-5239,,,www.mvhccares.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Muskingum Area MHRS Board (Coshocton, Guernsey, Morgan, Muskingum, Noble & Perry)",https://www.mhrs.org/providers,Southeastern Ohio Counseling Center,,clinic,,239A Old National Rd,,Lore City,OH,43755.0,,740-489-5571,,,www.southeasternohiocounseling.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board directory listing; website loads,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,Recovery and Wellness Centers of Midwest Ohio - Recovery (Darke County),,clinic,,600 Walnut St.,,Greenville,OH,45331.0,,(937) 548-6842,,,recoveryandwellnessohio.org,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,Recovery and Wellness Centers of Midwest Ohio - Mental Health (Darke County),,clinic,,212 E. Main Street,,Greenville,OH,45331.0,,(937) 548-1635,,,recoveryandwellnessohio.org,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,Recovery and Wellness Centers of Midwest Ohio - Miami County,,clinic,,1483 West Main Street,,Tipp City,OH,45371.0,,(937) 335-0361,,,recoveryandwellnessohio.org,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,Recovery and Wellness Centers of Midwest Ohio - Shelby County,,clinic,,1101 N. Vandemark Rd.,,Sidney,OH,45365.0,,(937) 622-7393,,,recoveryandwellnessohio.org,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,TCN Behavioral Health,,clinic,,1059 N. Market St.,,Troy,OH,45373.0,,(937) 335-4543,,,tcn.org,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,"Community Housing of Darke, Miami & Shelby Counties",,clinic,,"1280 N. County Road 25A, Suite #2",,Troy,OH,45373.0,,(937) 332-0021,,,commhousing.org,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,Miami County Family & Children First Council,,clinic,,"1280 N. County Road 25A, Suite #1",,Troy,OH,45373.0,,(937) 761-2451,,,co.miami.oh.us,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,"NAMI of Darke, Miami and Shelby Counties",,clinic,,"1280 N. County Road 25A, Suite #1",,Troy,OH,45373.0,,(937) 761-2443,,,namiDMS.org,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,"SafeHaven, Inc. - Miami County Site",,clinic,,633 N. Wayne St.,,Piqua,OH,45356.0,,(937) 615-0126,,,safehaveninc.com,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,"SafeHaven, Inc. - Darke County Site",,clinic,,322 Fair St.,,Greenville,OH,45331.0,,(937) 548-7233,,,safehaveninc.com,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
"Tri-County Board of Recovery and Mental Health Services (Miami, Darke & Shelby)",https://www.tcbmds.org/service-provider-network.html,"SafeHaven, Inc. - Shelby County Site",,clinic,,1101 N. Vandemark Rd.,,Sidney,OH,45365.0,,(937) 658-6930,,,safehaveninc.com,,,,,,,,,,,,,,2025-12-29,likely_active,Provider network listing; board website,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Big Brothers Big Sisters of Central Ohio,,clinic,,39 W. Winter Street,,Delaware,OH,43015.0,,(740) 369-2447,,,bbbscentralohio.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Cornerstone of Hope Mid-Ohio Trauma Response Team,,clinic,,"253 N. State Street, Suite 200",,Westerville,OH,43081.0,,(614) 824-4285,,,columbus.cornerstoneofhope.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Del-Mor Dwellings,,clinic,,118 Stover Drive,,Delaware,OH,43015.0,,(740) 363-5562,,,delmordwellings.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,HelpLine (Delaware),,clinic,,118 Stover Drive,,Delaware,OH,43015.0,,(740) 369-3316,,,helplinedelmor.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,HelpLine (Mount Gilead),,clinic,,950 Meadow Drive,,Mt Gilead,OH,43338.0,,(419) 947-2520,,,helplinedelmor.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Maryhaven (Delaware),,clinic,,88 North Sandusky St,,Delaware,OH,43015.0,,(740) 203-3800,,,maryhaven.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Maryhaven (Mount Gilead),,clinic,,950 Meadow Drive,,Mt. Gilead,OH,43338.0,,(419) 946-6734,,,maryhaven.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,NAMI Mid-Ohio (Delaware),,clinic,,814 Bowtown Road,,Delaware,OH,43015.0,,(740) 815-1767,,,notaloneohio.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,NAMI Mid-Ohio (Mount Gilead),,clinic,,651 W. Marion Street,,Mt. Gilead,OH,43338.0,,(419) 890-1644,,,notaloneohio.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Prevention Awareness Support Services,,clinic,,61 W. William St.,,Delaware,OH,43015.0,,(740) 513-4211,,,passaah.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Safe Harbor Peer Support Services - Annie’s Outreach Center,,clinic,,"241 Paddock Ct., Suite B",,Delaware,OH,43015.0,,(740) 363-1619,,,safeharborhelps.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Safe Harbor Peer Support Services - No Limits Outreach Center,,clinic,,4046 Township Road 246,,Edison,OH,43320.0,,(419) 946-5900,,,safeharborhelps.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Southeast Healthcare (Delaware),,clinic,,824 Bowtown Road,,Delaware,OH,43015.0,,(740) 695-7795,,,southeastinc.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Southeast Healthcare (Mount Gilead),,clinic,,950 Meadow Drive,,Mt. Gilead,OH,43338.0,,(419) 949-2000,,,southeastinc.com,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Delaware-Morrow Mental Health & Recovery Services Board,https://dmmhrsb.org/networkofcare,Syntero (Lewis Center),,clinic,,7100 Graphics Way,,Lewis Center,OH,43035.0,,(614) 889-5722 ext.133,,,syntero.org,,,,,,,,,,,,,,2025-12-29,likely_active,Board Network of Care listing,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Lancaster Recovery Services,,,"Provides compassionate and expert care, always emphasizing the dignity of the individual.",121 W Mulberry Street,,Lancaster,OH,43130.0,Fairfield,740-277-7512,740-277-7390,admin@parsohio.org,https://www.parsohio.org,,Mon-Thu 8am-6pm; Closed Fri,"Outpatient mental health and substance use services; groups, individual counseling, case management, peer support",,,,,,,,,,,2025-12-29,likely_active,Board directory and provider website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,The Lighthouse Domestic Violence Shelter of Fairfield County,,,"Domestic violence crisis, diagnostic assessment, counseling and case management.",P.O. Box 215,,Lancaster,OH,43130.0,Fairfield,740-687-4423,,,https://www.lancasterlh.org,,,"Domestic violence crisis, diagnostic assessment, counseling, case management",,,,,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Lutheran Social Services Faith Mission of Fairfield County,,,"Addresses issues of hunger, housing, healing, and hope.",1681 E Main Street,,Lancaster,OH,43130.0,Fairfield,740-653-2012,,,https://www.lssnetworkofhope.org/faithmissionfc,,,"Housing, food, healing services",,,,Individuals experiencing homelessness,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Meals on Wheels of Fairfield County,,,"Provides senior services ensuring health, connection, and independence for older adults.",1515 Cedar Hill Road,,Lancaster,OH,43130.0,Fairfield,740-681-5050,,,https://www.mowfc.org,,,Senior services including Meals on Wheels,,,,Older adults,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Mental Health America of Ohio,,,Client navigator and family support services in Fairfield County.,108 W Main Street,,Lancaster,OH,43130.0,Fairfield,740-202-9772,,,https://mhaohio.org,,,Client navigator and family support services,,,,,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,"Mid-Ohio Psychological Services, Inc.",,,"Mental health diagnostic assessment, counseling, and case management.",106 Starret Street,#100,Lancaster,OH,43130.0,Fairfield,740-687-0042,,,https://www.mopsohio.com,,,"Mental health diagnostic assessment, counseling, case management",,,,,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,New Horizons Mental Health Services,,,"Walk-in assessments, clinic, outpatient and psychiatry services.",2652 Kull Road,,Lancaster,OH,43130.0,Fairfield,740-687-0835,,,https://www.newhorizonsmentalhealth.org,,,"Walk-in assessments, Clinic, Outpatient and Psychiatry",,,,,Outpatient,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,multi-site
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,New Horizons Mental Health Services,,,Substance use and medication assisted treatment services.,2660 Kull Road,,Lancaster,OH,43130.0,Fairfield,740-277-6166,,,https://www.newhorizonsmentalhealth.org,,,Substance Use and Medication Assisted Treatment,,,,,Outpatient,MAT,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,multi-site
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,New Horizons Mental Health Services,,,Crisis services.,2680 Kull Road,,Lancaster,OH,43130.0,Fairfield,740-808-8371,,,https://www.newhorizonsmentalhealth.org,,,Crisis services,,,,,Crisis,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,multi-site
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,New Horizons Mental Health Services,,,Clinic services.,12943 Stonecreek Drive,,Pickerington,OH,43147.0,,614-834-1919,,,https://www.newhorizonsmentalhealth.org,,,Clinic services,,,,,Outpatient,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,multi-site
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,The Recovery Center,,,"Substance abuse diagnostic assessment, counseling, case management, psychiatric evaluation/medication monitoring, and prevention.",201 S Columbus Street,,Lancaster,OH,43130.0,Fairfield,740-687-4500,,,https://www.therecoverycenter.org,,,"Substance abuse diagnostic assessment, counseling, case management, psychiatric evaluation/medication monitoring, prevention",,,,,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Big Brothers Big Sisters of Fairfield County,,,Community-based mentoring program.,624 W 5th Avenue,,Lancaster,OH,43130.0,Fairfield,740-687-9477,,,https://www.bbbs-fairfieldoh.org,,,Community-based mentoring program,,,,Youth,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,OhioGuidestone (Fairfield County),,,Medication assisted treatment (MAT) services and Incredible Years preschool program.,336 Locust Street,,Lancaster,OH,43130.0,Fairfield,740-672-3855,,,https://www.ohioguidestone.org,,,Medication assisted treatment services and preschool program,,,,,Outpatient; MAT,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Lancaster-Fairfield Community Action Agency,,,Teens for Tots program.,1743 E Main Street,,Lancaster,OH,43130.0,Fairfield,740-653-4146,,,https://www.faircaa.org,,,Teens for Tots program,,,,,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Fairfield County 2-1-1 (Information & Referral),,,Information and referral hotline.,108 W Main Street,Suite C,Lancaster,OH,43130.0,Fairfield,740-687-0500,,,https://www.fairfieldcounty211.org,855-431-0803,,Information & Referral; Crisis Line 740.687.8255,,,,,,,,,,,2025-12-29,likely_active,Provider listed in board directory; hotline operational,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Fairfield County Family & Children First Council,,,Multi-system youth programs.,831 College Avenue,Suite C,Lancaster,OH,43130.0,Fairfield,740-652-7280,,,https://www.facfc.org,,,Multi-system youth programs,,,,,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Fairfield County ADAMH Board,https://www.fairfieldadamh.org/pdf/Network-of-Care-Agency-List.pdf,Integrated Services for Behavioral Health (ISBH),,,Provides mental health and recovery services.,220 E Walnut Street,,Lancaster,OH,43130.0,Fairfield,740-277-6389,,,https://www.isbh.org,800-321-8293,,Behavioral health services,,,,,,,,,,,2025-12-29,likely_active,Provider listed in board directory; website loads,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Scioto Paint Valley Mental Health Center (Main Office),,mental health center,Provides mental health and substance use disorder services across multiple counties,4449 State Route 159,P.O. Box 6179,Chillicothe,OH,45601.0,Ross,740-775-1260,740-775-0292,,https://www.spvmhc.org,740-773-4357,,Outpatient and residential mental health and substance use treatment; crisis services,,,,,,,,,,,2025-12-29,likely_active,Listed on Paint Valley ADAMH contract providers; website active,
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Scioto Paint Valley MHC – Pickaway County Clinic,,clinic,Outpatient mental health and crisis services,145 Morris Road,,Circleville,OH,43113.0,Pickaway,740-474-8874,740-477-1463,,https://www.spvmhc.org,740-477-2579,,Outpatient mental health and crisis services,,,,,Outpatient,,,,,,2025-12-29,likely_active,Provider listed with clinic address and phone,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Scioto Paint Valley MHC – Pike County Clinic,,clinic,Outpatient mental health and crisis services,102 Dawn Lane,,Waverly,OH,45690.0,Pike,740-947-7783,740-947-4226,,https://www.spvmhc.org,740-947-2147,,Outpatient mental health and crisis services,,,,,Outpatient,,,,,,2025-12-29,likely_active,Provider listed with clinic address and phone,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Scioto Paint Valley MHC – Floyd Simantel Residential,,residential facility,Residential mental health treatment facility,312 East Second Street,,Chillicothe,OH,45601.0,Ross,740-775-1270,,,https://www.spvmhc.org,,,Residential treatment,,,,,Residential,,,,,,2025-12-29,likely_active,Provider listed on board site; facility address provided,multi-site
Paint Valley ADAMH Board,https://pvadamh.org/contract-providers/,Scioto Paint Valley MHC – Martha Cottrill Clinic (Ross County),,clinic,Outpatient mental health clinic,4449 OH-159,,Chillicothe,OH,45601.0,Ross,740-775-1260,740-773-8322,,https://www.spvmhc.org,740-773-4357,,Outpatient mental health clinic,,,,,Outpatient,,,,,,2025-12-29,likely_active,Provider listed with address and phone,multi-site
