day,section,chapter,excerpt_start_words,excerpt_end_words,core_idea,modern_clinical_interpretation,
24,Main text,Bill's Story,Thus was I convinced that God is concerned with us humans when we want Him enough.,How blind I had been.,"A powerful experience leads to a conviction that a caring power is personally involved, and prior disbelief is seen as “blindness.”","In modern language, this describes a sudden reframe in which the person shifts from feeling abandoned or alone to feeling supported by a benevolent force or framework, which often reduces despair and increases hope. Motivational interviewing would not argue for or against the person’s new conviction but would explore how this belief affects their motivation and choices (“Since you see things this way now, what are you drawn to do differently about drinking and your life?”), helping them connect the new perspective to concrete behavior change. Cognitive behavioral therapy can support this shift by reinforcing its helpful aspects (for example, reduced self‑condemnation, increased sense of support) while also monitoring for extreme or all‑or‑nothing interpretations (“If I ever feel doubt again, I’m lost”), encouraging balanced thinking that can sustain recovery through inevitable emotional ups and downs.​",
25,Main text,Bill's Story,"There I humbly offered myself to God, as I then understood Him, to do with me as He would.",I have not had a drink since.,"A clear decision and act of surrender is made, followed by immediate continuous abstinence in the narrative.","Clinically, this marks a commitment moment: the person decides to stop relying on self‑will alone and to align their actions with a chosen higher principle or purpose, and at least in the story, this is associated with an abrupt end to drinking. Motivational interviewing sees such decisions as the culmination of a process of resolving ambivalence; it would support the person in articulating their commitment clearly (“From today, I’m choosing not to drink and to live by these principles”) and in planning specific steps that express that commitment. Cognitive behavioral therapy emphasizes that even after a powerful decision, cravings and triggers will still appear, so it would help the person build a detailed coping plan—identifying high‑risk situations, rehearsing refusal skills, and setting up supportive routines—so that their decision is backed by practical preparations rather than relying solely on a single moment of resolve.​",
26,Main text,Bill's Story,"My schoolmate visited me, and I fully acquainted him with my problems and deficiencies.",I was to right all such matters to the utmost of my ability.,The person openly shares their problems and defects with another and becomes willing to make amends for past harms as far as possible.,"Clinically, this reflects confession, interpersonal transparency, and a readiness to repair relationships—processes known to reduce shame and improve social support. Motivational interviewing supports this by exploring the person’s own reasons for being honest and making amends (“How would making things right fit with the kind of person you want to be?”), ensuring that these steps are self‑directed rather than coerced. Cognitive behavioral therapy adds structure by helping the person list specific harms, anticipate different possible reactions from others, and practice conversations in advance, as well as by challenging all‑or‑nothing thoughts (“If they don’t forgive me, I’m a failure”) so that the amends process strengthens recovery rather than becoming a new source of overwhelming shame.​",
27,Main text,Bill's Story,I was to test my thinking by the new God-conscious- ness within.,But that would be in great measure.,"Ongoing guidance is framed as comparing one’s thoughts and plans to a new inner sense of God-consciousness, rather than acting from old patterns.","In contemporary clinical terms, this resembles a commitment to monitor thoughts and decisions against a new internal standard or value system, instead of automatically following old impulses and beliefs. Motivational interviewing would help the person describe in their own words what this “new standard” looks like (“What does living by this new awareness mean day to day?”) and what kinds of thoughts or actions fit or don’t fit with it, strengthening ownership of the change process. Cognitive behavioral therapy can operationalize this practice by teaching the person to use thought records or brief check‑ins: when a risky idea arises (“Maybe I could just stop in that bar”), they write it down, examine whether it aligns with their new principles and goals, and then deliberately choose a different response, turning the abstract “testing” into a concrete, repeatable skill.​",
28,Main text,Bill's Story,My friend promised when these things were done I would enter upon a new relationship with my Creator;,were the essential requirements.,"Certain attitudes and actions (honesty, willingness, amends, service) are described as essential requirements for a new way of living.","Clinically, this suggests that lasting change is tied not just to stopping alcohol, but to adopting a different set of attitudes and behaviors—such as honesty, humility, and responsibility—that reshape one’s life context. Motivational interviewing would explore which of these “requirements” resonate most with the person’s own values and which feel most challenging, helping prioritize where they are most willing to start and reinforcing steps they have already taken in this direction. Cognitive behavioral therapy would frame these “requirements” as targets for behavior change (for example, practicing small daily acts of honesty, following through on commitments) and work with the thoughts that interfere (“If I admit I’m wrong, I’ll be humiliated”), using experiments in real-life situations to show how the new behaviors support both sobriety and self‑respect.​",
29,Main text,Bill's Story,"Simple, but not easy; a price had to be paid. It meant destruction of self-centeredness.","God comes to most men gradually, but His impact on me was sudden and profound.","The program is said to be simple in outline but hard in execution because it requires giving up self-centered ways; some experience this change gradually, others suddenly.","Modern practice acknowledges that changing deeply ingrained, self‑focused patterns is demanding and that people differ in how quickly their perspective shifts. Motivational interviewing respects this variability by asking how ready the person feels to make specific changes and by normalizing both slow, incremental progress and sudden shifts, rather than implying that one kind of experience is superior. Cognitive behavioral therapy helps with the “not easy” part by breaking the broad goal (“less self‑centered”) into small, observable behaviors—like listening more in conversations, sharing credit, or considering others’ needs when planning—and by working with thoughts that resist these changes (“If I don’t put myself first, I’ll be walked on”), so that the “price” is understood, tested, and gradually accepted rather than demanded in the abstract.​",
30,Main text,Bill's Story,While I lay in the hospital the thought came that there were thousands of hopeless alcoholics who might be glad to have what had been so freely given me.,They in turn might work with others.,"The person realizes that helping other alcoholics could be a central part of their own recovery, creating a chain of mutual aid.","Clinically, this captures what is now called peer support or service: helping others with similar problems often strengthens one’s own recovery by providing purpose, accountability, and connection. Motivational interviewing can nurture this emerging desire to help by exploring how service fits the person’s values (“What does it mean to you to be useful to others who struggle like you did?”) and by helping them choose forms of helping that feel safe and appropriate for their stage of recovery. Cognitive behavioral therapy integrates service into relapse‑prevention planning by identifying specific, realistic helping behaviors (such as sharing their story in a group, making outreach calls, or volunteering at meetings), examining any anxious or self‑critical thoughts that arise about these roles, and collecting evidence over time that such actions improve mood, reduce isolation, and remind them of the reasons to stay sober.",
46,Main text,There Is a Solution,"If you are as seriously alcoholic as we were, we believe there is no middle-of-the-road solution.",You may be suffering from an illness which only a spiritual experience will conquer.,"For serious alcoholics, compromise strategies do not work; a full, transformative solution is required.","Clinically, this says that for severe alcohol use disorder, half‑measures like periodic cutting down or switching drinks usually fail, and a deep change in how life is lived is needed. Motivational interviewing invites people to review their own history with “middle‑of‑the‑road” attempts (moderation, rules) and to compare outcomes with their goals, helping them decide whether a more complete change is necessary. Cognitive behavioral therapy then helps translate the idea of a “full” solution into specific behavioral commitments—such as total abstinence, ongoing support, and regular coping‑skills practice—so the transformation is expressed in daily routines rather than just as an abstract ideal.​",
47,Main text,There Is a Solution,"To one who feels as we felt, that we are not truly human unless we can drink, will want to stop drinking so badly that you will be willing to go to any length to do so.",You may feel that nothing can be done about it.,The text acknowledges the belief that life without alcohol feels inhuman and anticipates hopelessness about change.,"Clinically, this reflects a common identity belief (“Drinking is part of who I am”) that makes sobriety seem like a loss of self and fuels hopelessness. Motivational interviewing would explore this belief empathetically, asking what alcohol has meant to the person and what they fear losing, while also inviting them to imagine what they might gain by change (“What parts of you might come back if alcohol were not in charge?”). Cognitive behavioral therapy works directly with identity‑related thoughts by examining evidence for and against ideas like “I’m not myself without alcohol” and by encouraging experiments in sober activities that express the person’s real interests and values, gradually showing that a meaningful, “human” life is possible without drinking.​",
48,Main text,More About Alcoholism,MOST OF US have been unwilling to admit we were real alcoholics.,"The idea that somehow, someday he will control and enjoy his drinking is the great obsession of every abnormal drinker.",Denial of being a “real alcoholic” and obsession with one day controlling drinking are presented as central features of the condition.,"Clinically, this describes minimization and persistent hope for controlled use despite contrary evidence—core elements of denial in alcohol use disorder. Motivational interviewing is specifically designed to work with this ambivalence by exploring the pros and cons of continued attempts at control and gently asking how past efforts compare with what the person hoped would happen, so they can reconsider their stance without confrontation. Cognitive behavioral therapy helps the person examine the “great obsession” as a belief (“Someday I’ll manage it”) by looking at real outcomes of past attempts, challenging thinking errors (“This time will be different for no good reason”), and supporting a shift toward goals that fit the actual pattern, often an abstinence focus for severe cases.​",
49,Main text,More About Alcoholism,We learned that we had to fully concede to our innermost selves that we were alcoholics.,This is the first step in recovery.,Fully conceding to oneself that one is alcoholic is framed as essential and as the first step in recovery.,"Clinically, this is about accurate self‑diagnosis and acceptance: acknowledging the severity and pattern of alcohol problems without minimizing. Motivational interviewing supports this “innermost” concession by helping people hear themselves describe their use, consequences, and failed control attempts, then reflecting back patterns they identify, so recognition arises from their own narrative rather than from being labeled. Cognitive behavioral therapy reinforces acceptance by reviewing concrete evidence (frequency, quantities, consequences) and linking it to diagnostic criteria, while also working with shame and self‑stigma (“If I admit this, I’m worthless”) so that acceptance becomes a starting point for problem‑solving, not a reason for despair.​",
50,Main text,More About Alcoholism,We alcoholics are men and women who have lost the ability to control our drinking.,We know that no real alcoholic ever recovers control.,"Loss of control is defined as a hallmark of alcoholism, and regaining control is said not to happen for “real” alcoholics.","Clinically, this recognizes impaired control as a defining feature of severe alcohol use disorder: repeated failures to limit use despite strong intentions. Motivational interviewing can ask people to describe specific episodes when they intended to control their drinking and what actually happened, fostering insight into their control patterns without accusation. Cognitive behavioral therapy integrates this insight into a relapse‑prevention framework: if control efforts consistently fail, the plan shifts from moderation to complete abstinence, with skills focused on avoiding the first drink and managing triggers, rather than on trying to stop mid‑episode.​",
51,Main text,More About Alcoholism,"The fact is that most alcoholics, for reasons yet obscure, have lost the power of choice in drink.",Our so-called will power becomes practically nonexistent.,The text states that most alcoholics have lost the power of choice regarding alcohol and that willpower becomes nearly useless in this area.,"Modern formulations mirror this by describing how neuroadaptations and conditioned learning greatly weaken voluntary control over drinking in severe cases, especially once alcohol is present in the system. Motivational interviewing affirms the person’s experience (“It sounds like your drinking sometimes takes over despite your plans”) and shifts the focus from “trying harder” to “trying differently,” exploring options that do not rely solely on willpower (support, skills, environment changes). Cognitive behavioral therapy directly targets the idea of “no choice” by identifying where choice still exists: before exposure to key triggers, in how the person structures their day, and in which coping responses they practice, thereby building a sense of influence and specific strategies that do not depend on raw willpower in the moment of maximum craving.​",
52,Main text,More About Alcoholism,"We are unable, at certain times, to bring into our consciousness with sufficient force the memory of the suffering and humiliation of even a week or a month ago.",We are without defense against the first drink.,The inability to recall past suffering with enough impact to prevent drinking is given as the reason for being defenseless against the first drink at certain times.,"Clinically, this points to state‑dependent memory and cognitive biases: in craving states, the brain prioritizes anticipated relief or pleasure over remembered pain, weakening natural deterrents. Motivational interviewing might explore with clients how their thinking about alcohol changes between calm moments and high‑craving moments, helping them see why relying on memory of consequences alone is not enough and strengthening motivation to build external supports and plans. Cognitive behavioral therapy addresses this by developing external cues (written plans, reminders, support calls) and specific coping scripts for high‑risk times, so that when memory of suffering is weak, pre‑planned behaviors and prompts can still interrupt the move toward the first drink.​",
53,Main text,More About Alcoholism,Once more: The alcoholic at certain times has no effective mental defense against the first drink.,His defense must come from a Higher Power.,The text reiterates that the alcoholic lacks a reliable mental defense against the first drink and asserts that defense must come from a higher power.,"Clinically, this acknowledges the limits of purely cognitive strategies in the heat of craving and proposes reliance on something beyond solitary reasoning—whether understood as spirituality, community, or deeply held values. Motivational interviewing would explore what “higher power” or greater support means personally to the client (for example, a recovery group, a sense of purpose, faith), and how turning to that resource could look in concrete terms when they are nearing a first drink. Cognitive behavioral therapy translates “defense from a higher power” into observable behaviors: calling a sponsor or trusted person, going to a meeting, reviewing a values statement, or using pre‑planned coping skills; while these may be spiritually framed, they function as behavioral defenses that do not rely solely on momentary thought power.​",
54,Main text,We Agnostics,IN THE PRECEDING chapters you have learned something of alcoholism.,These are questions which arise in the minds of multitudes of people.,"The chapter introduces the spiritual question, acknowledging that many doubt or reject traditional religious ideas and have questions about God.","Clinically, this recognizes that spiritual or religious language can be a barrier for many, and that doubts about God or religion are common and need to be addressed respectfully rather than brushed aside. Motivational interviewing is well‑suited here, as it emphasizes honoring the person’s current beliefs and exploring their questions and concerns without pushing a particular view, focusing instead on how any larger sense of meaning or connection might support their recovery. Cognitive behavioral therapy can help clients examine rigid or all‑or‑nothing beliefs about spirituality (“If I don’t accept a specific doctrine, nothing spiritual is possible”) and consider more flexible, personally meaningful ways of thinking about purpose, connection, or “something bigger” that do not conflict with their intellect or past experiences.​",
55,Main text,We Agnostics,"We found that as soon as we were able to lay aside prejudice and express even a willingness to believe in a Power greater than ourselves, we commenced to get results.",We found that God does not make too hard terms with those who seek Him.,Setting aside prejudice and being willing to consider a power greater than oneself is described as opening the way to positive results.,"Clinically, this is about cognitive openness: letting go of rigid, negative preconceptions and experimenting with new beliefs or frameworks that might support change. Motivational interviewing emphasizes willingness as a starting point (“You don’t have to be convinced; what would it be like just to be open to the possibility that something beyond you could help?”), inviting exploration rather than demanding belief. Cognitive behavioral therapy can treat spiritual willingness like any other cognitive experiment: the client might act “as if” for a period (for example, engaging in a practice or community aligned with a higher‑power concept) and then review what happens, allowing experience to inform beliefs instead of letting prejudice or fear dictate them in advance.​",
56,Main text,We Agnostics,"Much to our relief, we discovered we did not need to consider another's conception of God.","Our own conception, however inadequate, was sufficient to make the approach and to effect a contact with Him.","The text states that one does not need to adopt others’ conceptions of God; one’s own, however limited, is enough to begin.","Clinically, this promotes autonomy and personalization in the realm of meaning and spirituality: people can define for themselves what “higher power” or guiding principle means in a way that feels safe and acceptable. Motivational interviewing embraces this stance by asking what kind of greater purpose or guiding force, if any, the person might be willing to consider and how that fits their background and values, avoiding pressure to conform to others’ definitions. Cognitive behavioral therapy supports this by helping individuals articulate their own conception in clear, practical terms and examining how that belief influences their coping (for example, feeling supported vs. condemned), while challenging self‑attacking or rigid spiritual beliefs that hinder recovery.​",
57,Main text,We Agnostics,When we drew near to Him He disclosed Himself to us!,In this respect alcohol was a great persuader. It finally beat us into a state of reasonableness.,The text describes a process where suffering from alcohol breaks down resistance and leads people to become more open (“reasonable”) about spiritual ideas.,"Clinically, this reflects how repeated negative consequences can soften rigid defenses and increase openness to new perspectives or methods, including those once rejected. Motivational interviewing recognizes that hitting “bottoms” can increase readiness, but it seeks to use current pain constructively rather than waiting for worse consequences, exploring how existing suffering already suggests the need for change and openness to new solutions. Cognitive behavioral therapy can help transform this “persuasion by alcohol” into structured learning: reviewing how previous stubborn adherence to certain beliefs (“I don’t need help,” “All spirituality is nonsense”) has led to worse outcomes, and experimenting with more flexible, “reasonable” beliefs and actions that may lead to improved functioning and well‑being.​",
58,Main text,How It Works,RARELY HAVE we seen a person fail who has thoroughly followed our path.,Those who do not recover are people who cannot or will not completely give themselves to this simple program.,"The chapter opens by claiming that those who thoroughly follow the program rarely fail, and suggests that failure is linked to inability or unwillingness to fully commit.","Clinically, this highlights the importance of engagement and adherence: outcomes are better when people actively participate in a structured recovery plan, though barriers to “complete” commitment often include fear, trauma, and competing demands. Motivational interviewing examines both ability and willingness by asking what gets in the way of fuller engagement (“What makes it hard to give yourself to this?”) and what might help, treating reluctance as something to be understood rather than blamed. Cognitive behavioral therapy helps break down “thoroughly following our path” into specific, manageable tasks (attending meetings, doing written work, practicing honesty), identifying obstacles and unhelpful beliefs for each task, and building stepwise goals so that commitment is developed over time instead of assumed to be all‑or‑nothing from the start.​",
59,Main text,How It Works,Half measures availed us nothing.,Until we let go absolutely we could not be successful.,The statement asserts that half‑measures do not work and that success requires complete letting go.,"Clinically, this conveys that partial or inconsistent application of recovery efforts (for example, sometimes honest, sometimes not; sometimes avoiding triggers, sometimes not) often fails, and that more consistent change is needed for stability. Motivational interviewing explores where the person is currently using “half‑measures” (for example, selective truth‑telling, occasional meeting attendance) and what they fear about “letting go absolutely,” inviting a collaborative conversation about what fuller commitment might realistically look like for them. Cognitive behavioral therapy helps translate “no half‑measures” into concrete, trackable behaviors (for example, disclosing all use to a sponsor or therapist, removing all alcohol from the home, following through on agreed coping strategies), while also addressing perfectionistic or fatalistic thoughts (“If I can’t be perfect, it’s not worth trying”) by reframing “letting go” as a direction of travel rather than instant perfection.​",
60,Main text,How It Works,"Remember that we deal with alcohol--cunning, baffling, powerful!",May you find Him now!,"Alcohol is personified as cunning, baffling, and powerful, and the reader is urged to seek a higher power immediately.","Clinically, personifying alcohol underscores the complexity and strength of the addiction, reminding people not to underestimate it or rely on simple willpower; seeking a higher power points to needing support beyond one’s unaided mind. Motivational interviewing would build on this by asking how the person has experienced alcohol as “cunning” or “powerful” in their own life, validating their struggle and opening a discussion about what kinds of additional help—whether spiritual, social, or professional—they feel willing to seek “now.” Cognitive behavioral therapy echoes the caution about underestimating alcohol by focusing on detailed relapse‑prevention work (identifying subtle triggers, early warning signs, and seemingly harmless decisions that lead back to use) and by integrating external supports (sponsors, groups, therapy) as routine parts of defense against relapse, rather than expecting internal resolve alone to handle a powerful, “baffling” condition.",
61,Main text,How It Works,"Being convinced, we were at Step Three, which is that we decided to turn our will and our life over to God as we understood Him.",We were now at Step Three.,Step Three is presented as a decision to turn one’s will and life over to a higher power as understood by the individual.,"Clinically, this can be seen as a commitment to stop managing everything through solitary self‑will and instead to let one’s choices be guided by a chosen set of higher principles, values, or spiritual beliefs. Motivational interviewing would treat this as a decision point: exploring what “turning over” means to the person, what they hope it will change, and what concerns they have, so that the commitment is truly theirs rather than made to please others. Cognitive behavioral therapy supports this step by helping translate “turning over” into specific behaviors—like pausing to reflect before acting, consulting trusted supports, and comparing decisions to stated values—and by working with fears (“If I’m not in control, everything will fall apart”) through thought‑challenging and behavioral experiments.​",
62,Main text,How It Works,"Selfishness—self-centeredness! That, we think, is the root of our troubles.",We had to have God's help.,"Selfishness and self‑centeredness are identified as the root of many troubles, with the implication that help beyond oneself is needed to change this pattern.","Clinically, this highlights a pattern where excessive focus on one’s own fears, desires, and resentments drives conflicts, isolation, and ultimately drinking. Motivational interviewing might explore where self‑centered patterns show up (“When you look back, in what ways were you putting your own wants ahead of everything else?”) and how shifting toward more other‑oriented, value‑based living could support sobriety and better relationships. Cognitive behavioral therapy addresses self‑centeredness by identifying self‑focused thoughts (“What about me?” “I’m being cheated”) and examining their accuracy and consequences, then practicing behaviors that intentionally consider others’ needs and perspectives, which can reduce interpersonal stress and associated urges to drink.​",
63,Main text,How It Works,"So our troubles, we think, are basically of our own making.",We had to quit playing God.,The text claims that most troubles are of one’s own making and insists that individuals must stop “playing God” by trying to control everything and everyone.,"Clinically, this speaks to responsibility for one’s choices and to controlling behavior that damages relationships and increases stress, but it can also provoke shame if read as blaming. Motivational interviewing balances ownership and compassion by helping the person identify specific choices that contributed to problems while also acknowledging external factors, then exploring what kind of more humble, collaborative stance toward others fits their values. Cognitive behavioral therapy helps differentiate between realistic responsibility (“I chose to drink after that argument”) and excessive self‑blame (“Everything is my fault”), challenging distortions and supporting specific changes—like reducing attempts to control others and instead focusing on changing one’s own responses—that improve relationships and reduce relapse risk.​",
64,Main text,How It Works,"Next, we decided that hereafter in this drama of life, God was going to be our Director.",We were reborn.,"A new role relationship is described where a higher power is the “Director” and the person is an “agent” or “child,” marking a sense of being “reborn.”","Clinically, this indicates a shift from rigid self‑reliance and control to a more trusting, guided posture in life, which can reduce anxiety and impulsive decision‑making. Motivational interviewing would explore what it means to the person to no longer be the “director” of everything (“What changes for you when you stop trying to run the whole show?”) and how that might support sobriety and emotional stability. Cognitive behavioral therapy can frame this as moving from impulsive, ego‑driven choices to value‑guided decisions: clients learn to pause, check whether an action aligns with their guiding principles, and then choose accordingly, practicing this repeatedly so that the “reborn” identity is reflected in consistent behavior rather than just a feeling.​",
65,Main text,How It Works,We thought well before taking this step making sure we were ready that we could at last abandon ourselves utterly to Him.,"This was only a beginning, though if honestly and humbly made, an effect, sometimes a very great one, was felt at once.","The text emphasizes careful consideration before Step Three, framing it as a beginning that can have immediate effects if taken honestly and humbly.","Clinically, this underscores the importance of intentional, reflective commitment and notes that people may feel early benefits, though deeper work lies ahead. Motivational interviewing would slow down here, helping the person weigh the decision thoughtfully (“What would it mean in practice to abandon yourself to this new way?”), and elicit their own arguments for and against making such a commitment now. Cognitive behavioral therapy supports this beginning by setting expectations that even with an initial emotional “lift,” continued work (inventory, amends, coping skills) is needed, and by helping the client notice and reinforce early positive changes, which strengthens motivation to continue when the emotional intensity fades.​",
66,Main text,How It Works,"Next we launched out on a course of vigorous action, the first step of which is a personal housecleaning, which many of us had never attempted.",THIS WAS STEP FOUR.,"Vigorous action is introduced in the form of a searching personal inventory (“housecleaning”), identified as Step Four.","Clinically, this is akin to a structured self‑assessment: identifying patterns of resentment, fear, and harmful behavior that maintain distress and relapse. Motivational interviewing can help prepare for this challenging work by exploring the person’s hopes and fears about looking so closely at themselves (“What might be helpful about doing this inventory? What feels scary?”), reinforcing autonomy and readiness. Cognitive behavioral therapy parallels Step Four by using written inventories and worksheets to identify triggers, beliefs, and behavior patterns; this allows more precise targeting of cognitive distortions and high‑risk situations in subsequent sessions, turning “housecleaning” into an organized treatment plan.​",
67,Main text,How It Works,Resentment is the number one offender. It destroys more alcoholics than anything else.,"We turned back to the list, for it held the key to the future.","Resentment is labeled the primary “offender,” and the inventory list is said to hold the key to change.","Clinically, this stresses that chronic anger and grudges can drive craving, isolation, and relapse, making them crucial treatment targets. Motivational interviewing explores how resentments have affected the person’s drinking and life (“When you stay angry, what tends to happen?”) and whether they are interested in finding ways to lessen the grip of these resentments for their own well‑being. Cognitive behavioral therapy offers clear methods for working with resentment: identifying anger‑provoking thoughts and assumptions, examining their accuracy, considering alternative interpretations, and practicing new responses (assertiveness, boundary‑setting, empathy), thereby reducing emotional arousal and the urge to cope with anger by drinking.​",
68,Main text,How It Works,"We saw that these resentments must be mastered, but how?",We could not wish them away any more than alcohol.,"The text acknowledges that resentments must be mastered and that wishing them away does not work, paralleling the inability to simply wish away alcohol problems.","Clinically, this recognizes that both persistent anger and addiction require active, skill‑based work rather than mere willpower or avoidance. Motivational interviewing would invite the person to consider what they have already tried to handle resentments (ignoring, exploding, ruminating) and how effective those attempts have been, building motivation to try new strategies. Cognitive behavioral therapy provides such strategies: writing about resentments, analyzing thinking patterns, practicing forgiveness or acceptance when appropriate, and testing new behaviors in provoking situations, so that “mastery” is built through practice and insight rather than wishing.​",
69,Main text,How It Works,"Referring to our list again. Putting out of our minds the wrongs others had done, we resolutely looked for our own mistakes.",When we saw our faults we listed them.,"The text shifts focus from others’ wrongs to one’s own mistakes and faults, which are listed honestly.","Clinically, this encourages a move from blame to personal responsibility, reducing victim stance and increasing agency, but it must be balanced to avoid excessive self‑blame, especially in trauma histories. Motivational interviewing helps keep this balance by acknowledging real harms from others while also exploring how taking responsibility for one’s part can support recovery and healthier relationships (“What is in your control now?”). Cognitive behavioral therapy uses this shift to refine case formulations: by listing one’s own contributions to conflicts and problems, clients can see where changing their thinking and behavior (for example, reacting less defensively, setting boundaries) may reduce distress and relapse risk, while therapists help guard against unfair self‑criticism.​",
70,Main text,How It Works,"Notice that the word fear is bracketed alongside the difficulties with Mr. Brown, Mrs. Jones, the employer, and the wife.",We asked ourselves why we had them.,"Fear is highlighted as underlying many interpersonal difficulties, and the text suggests examining why these fears are present.","Clinically, this identifies fear as a pervasive driver of behavior—prompting defensiveness, withdrawal, or aggression—that complicates relationships and fuels drinking. Motivational interviewing might explore which fears are most powerful for the person (for example, fear of abandonment, failure, or shame) and how alcohol has been used to manage these fears, opening a discussion about alternative ways to cope. Cognitive behavioral therapy addresses fear with structured techniques: identifying fearful thoughts, evaluating how realistic they are, practicing exposure to feared situations in manageable steps, and building coping skills (like problem‑solving or relaxation), so that fear no longer has to be numbed with alcohol.​",
71,Main text,How It Works,"We reviewed our fears thoroughly. We put them on paper, even though we had no resentment in connection with them.","At once, we commence to outgrow fear.","The text recommends a written inventory of fears and suggests that, with a new basis of trust, fear can be outgrown.","Clinically, writing down fears is similar to structured fear assessment and can reduce their vague, overwhelming quality by making them specific and examinable. Motivational interviewing can support this process by affirming the courage it takes to face fears in writing and by asking how reducing certain fears might improve life and support recovery (“If this fear lessened, what would be possible?”). Cognitive behavioral therapy then uses the written list as a foundation for cognitive restructuring and graded exposure: challenging catastrophic predictions, planning small steps into feared situations, and reinforcing successful coping, helping the person gradually “outgrow” fear in a practical, measurable way.​",
72,Main text,How It Works,Now about sex. Many of needed an overhauling there.,We tried to shape a sane and sound ideal for our future sex life.,"The text turns to sex, noting that many people need significant change in this area and suggesting the creation of a “sane and sound” sexual ideal.","Clinically, this highlights that sexual behaviors and beliefs often become distorted during active addiction (for example, secrecy, risk, exploitation) and that addressing this domain is part of comprehensive recovery. Motivational interviewing would approach this sensitive topic gently, inviting the person to describe how alcohol has affected their sexual behavior and relationships and what a healthier, more respectful sexual life would look like for them, consistent with their values. Cognitive behavioral therapy can help by examining beliefs about sex (“I need sex to feel valued,” “If I’m sober, no one will want me”), identifying risky patterns (for example, sex under the influence, using sex to regulate emotion), and planning specific changes and boundaries that support both safety and intimacy in sobriety.​",
73,Main text,How It Works,We subjected each relation to this test: Was it selfish or not?,"In other words, we treat sex as we would any other problem.","Sexual relationships are to be examined through the lens of selfishness versus consideration, and sex is to be treated as any other problem—neither ignored nor obsessed over.","Clinically, this promotes evaluating sexual behavior in terms of mutual respect and responsibility rather than impulse or ego, and normalizing sex as an area for thoughtful problem‑solving rather than taboo or uncontrolled indulgence. Motivational interviewing might ask clients what they want from their sexual and romantic relationships in recovery and how past selfish or impulsive patterns have conflicted with those desires, helping to build motivation for change in this domain. Cognitive behavioral therapy offers tools to treat sex as “any other problem”: clarifying goals, identifying unhelpful thoughts and behaviors, rehearsing assertive communication and consent, and planning responses to high‑risk situations (for example, dating where substances are present), thereby integrating sexual health into the overall relapse‑prevention plan.​",
74,Main text,How It Works,"If we have been thorough about our personal inventory, we have written down a lot.",We have made a good beginning.,"The text notes that a thorough inventory produces substantial written material and frames this as a good beginning, not a complete job.","Clinically, this reinforces that increased self‑awareness—captured in written form—is only the first phase of change; further steps are needed to alter behavior and relationships. Motivational interviewing can help sustain engagement by exploring how it feels to have this “lot” on paper and what the person hopes will change as they move into sharing and amends, emphasizing progress while preparing for the work ahead. Cognitive behavioral therapy uses the inventory as a rich data set for treatment: it guides which beliefs to target, which situations to rehearse, and which relationship patterns to address, making subsequent interventions more precise and personalized rather than generic.​",
75,Main text,How It Works,We have swallowed and digested some big chunks of truth about ourselves.,This brings us to the Fifth Step in the program of recovery mentioned in the preceding chapter.,"Facing and accepting hard truths about oneself leads into Step Five: admitting these truths to God, oneself, and another human being.","Clinically, this moves from private awareness to interpersonal disclosure, which can significantly reduce shame and secrecy—key drivers of continued use. Motivational interviewing prepares for Step Five by exploring the person’s hopes (“What do you think might improve if you shared this with someone safe?”) and fears (“What worries you about being that open?”), supporting an informed, voluntary decision to proceed. Cognitive behavioral therapy underscores the therapeutic value of disclosure by explaining how secrecy maintains distorted self‑views (“If people knew me, they’d reject me”) and by helping select an appropriate person to hear the inventory, role‑playing parts of the conversation to reduce anxiety and increase the likelihood that the experience will be corrective rather than re‑traumatizing.​",
76,Main text,Into Action,"HAVING MADE our personal inventory, what shall we do about it?",We must be entirely honest with somebody if we expect to live long or happily in this world.,"Step Five is introduced as the next action: sharing the inventory honestly with another, presented as necessary for long‑term survival and happiness.","Clinically, this emphasizes that recovery requires at least one deeply honest relationship and that isolation with one’s secrets is dangerous to both sobriety and mental health. Motivational interviewing addresses potential reluctance by eliciting the person’s own reasons for and against telling someone (“What might be the benefits and risks?”) and by affirming that the choice of whom to tell and when remains theirs, which can increase willingness to engage. Cognitive behavioral therapy frames Step Five as an exposure exercise: deliberately facing feared rejection or judgment in a safe setting and gathering new evidence (for example, acceptance, understanding) that challenges catastrophic expectations, thereby weakening shame and the belief that one must drink to cope with hidden guilt.​",
77,Main text,Into Action,"Rightly and naturally, we think well before we choose the person or persons with whom to take this intimate and confidential step.","We pocket our pride and go to it, illuminating every twist of character, every dark cranny of the past.",The text advises careful selection of the person for Step Five and calls for setting aside pride to share honestly and thoroughly.,"Clinically, this underscores the need for safety and trust in disclosure, and for humility in acknowledging one’s full history and patterns. Motivational interviewing can help the client identify people they already trust (sponsor, therapist, clergy) and what qualities make them feel safe, reinforcing their autonomy in the choice and supporting the willingness to move past pride for the sake of healing. Cognitive behavioral therapy helps plan the Step Five session: organizing material, practicing how to say difficult parts, challenging thoughts like “They will think I’m disgusting,” and developing coping strategies for emotional responses during and after the sharing, so the experience is both honest and manageable.​",
